Run will be saved under: ./run_outputs/run_2021_to_2021

Screening abstracts and fetching fulltexts...
Running on device: cpu
<pmid: 37519413, isPK: True, prob: 0.9999922513961792>
<pmid: 37305163, isPK: False, prob: 0.0006660697399638593>
<pmid: 36684526, isPK: True, prob: 0.9999940395355225>
<pmid: 36303959, isPK: False, prob: 0.0013519595377147198>
<pmid: 36100331, isPK: False, prob: 0.0006408747285604477>
<pmid: 35847519, isPK: False, prob: 0.0007317529525607824>
<pmid: 35847505, isPK: False, prob: 0.0010939440689980984>
<pmid: 35847491, isPK: False, prob: 0.0006648400449194014>
<pmid: 35844969, isPK: False, prob: 0.0008078549872152507>
<pmid: 35821992, isPK: False, prob: 0.0008981721475720406>
<pmid: 35692478, isPK: False, prob: 0.5908286571502686>
<pmid: 35686735, isPK: False, prob: 0.0004691325593739748>
<pmid: 35649144, isPK: True, prob: 0.9999936819076538>
<pmid: 35609593, isPK: False, prob: 0.001554956310428679>
<pmid: 35582027, isPK: False, prob: 0.0015019993297755718>
<pmid: 35572397, isPK: False, prob: 0.000808983517345041>
<pmid: 35525754, isPK: False, prob: 0.0008630612283013761>
<pmid: 35485334, isPK: True, prob: 0.9999872446060181>
<pmid: 35479903, isPK: False, prob: 0.0007472755387425423>
<pmid: 35479455, isPK: False, prob: 0.0016713301884010434>
<pmid: 35479426, isPK: False, prob: 0.0008559177513234317>
<pmid: 35434624, isPK: False, prob: 0.0006666628760285676>
<pmid: 35423790, isPK: False, prob: 0.0006879513966850936>
<pmid: 35403530, isPK: False, prob: 0.0013265743618831038>
<pmid: 35400827, isPK: False, prob: 0.0007060741190798581>
<pmid: 35399800, isPK: False, prob: 0.0016661214176565409>
<pmid: 35399796, isPK: True, prob: 0.9926182627677917>
<pmid: 35386137, isPK: False, prob: 0.03938424587249756>
<pmid: 35379116, isPK: True, prob: 0.9893478155136108>
<pmid: 35379115, isPK: True, prob: 0.988801121711731>
<pmid: 35379113, isPK: True, prob: 0.9999097585678101>
<pmid: 35379112, isPK: True, prob: 0.9997841715812683>
<pmid: 35379110, isPK: True, prob: 0.9929060935974121>
<pmid: 35373131, isPK: False, prob: 0.003843494923785329>
<pmid: 35342386, isPK: True, prob: 0.9999102354049683>
<pmid: 35310492, isPK: False, prob: 0.0007745660841464996>
<pmid: 35299768, isPK: True, prob: 0.9999935626983643>
<pmid: 35299767, isPK: False, prob: 0.4030739665031433>
<pmid: 35295519, isPK: True, prob: 0.9999939203262329>
<pmid: 35295123, isPK: True, prob: 0.9999841451644897>
<pmid: 35261649, isPK: False, prob: 0.000971325789578259>
<pmid: 35234086, isPK: False, prob: 0.001625841367058456>
<pmid: 35221496, isPK: True, prob: 0.953315019607544>
<pmid: 35174180, isPK: True, prob: 0.9991289973258972>
<pmid: 35173509, isPK: False, prob: 0.0007719435961917043>
<pmid: 35155653, isPK: True, prob: 0.9999910593032837>
<pmid: 35153748, isPK: True, prob: 0.9987795948982239>
<pmid: 35146045, isPK: True, prob: 0.9999920129776001>
<pmid: 35128514, isPK: False, prob: 0.0029295047279447317>
<pmid: 35127147, isPK: False, prob: 0.0008868698496371508>
<pmid: 35126345, isPK: False, prob: 0.0008869771263562143>
<pmid: 35126130, isPK: True, prob: 0.9999839067459106>
<pmid: 35124448, isPK: True, prob: 0.6832054257392883>
<pmid: 35121987, isPK: False, prob: 0.0004843120987061411>
<pmid: 35116587, isPK: False, prob: 0.0012457447592169046>
<pmid: 35115931, isPK: True, prob: 0.9999734163284302>
<pmid: 35111872, isPK: True, prob: 0.9999897480010986>
<pmid: 35111743, isPK: True, prob: 0.999972939491272>
<pmid: 38319179, isPK: False, prob: 0.021445419639348984>
<pmid: 35096945, isPK: False, prob: 0.0014888168079778552>
<pmid: 35095434, isPK: True, prob: 0.7327806949615479>
<pmid: 35094925, isPK: True, prob: 0.9999879598617554>
<pmid: 35083161, isPK: True, prob: 0.9999908208847046>
<pmid: 35079625, isPK: False, prob: 0.0010488968109712005>
<pmid: 35071603, isPK: False, prob: 0.0008132460643537343>
<pmid: 35071142, isPK: True, prob: 0.9999866485595703>
<pmid: 35070991, isPK: True, prob: 0.990530788898468>
<pmid: 35069421, isPK: False, prob: 0.0012983956839889288>
<pmid: 35069201, isPK: True, prob: 0.9999936819076538>
<pmid: 35069198, isPK: False, prob: 0.0010277065448462963>
<pmid: 35069185, isPK: True, prob: 0.9999834299087524>
<pmid: 35062273, isPK: False, prob: 0.0020957004744559526>
<pmid: 35060468, isPK: False, prob: 0.001381612615659833>
<pmid: 35059568, isPK: False, prob: 0.5939092040061951>
<pmid: 35059170, isPK: False, prob: 0.0013608633307740092>
<pmid: 35059130, isPK: False, prob: 0.0007209568866528571>
<pmid: 35058784, isPK: True, prob: 0.9999929666519165>
<pmid: 35058777, isPK: True, prob: 0.9999932050704956>
<pmid: 35057889, isPK: False, prob: 0.0008068452007137239>
<pmid: 35056943, isPK: True, prob: 0.9999920129776001>
<pmid: 35056916, isPK: True, prob: 0.9999817609786987>
<pmid: 35056913, isPK: True, prob: 0.9999936819076538>
<pmid: 35056910, isPK: True, prob: 0.9999922513961792>
<pmid: 35052911, isPK: True, prob: 0.9999933242797852>
